Event Code,Short Description,Full Description
11130,Backup error,Error during the backup step Configuration. No more objects. Consequences The backup request is aborted. No backup was created.
11136,Backup error,"Error during the backup step Configuration. Write error. Consequences The backup request is aborted. No backup was created. Probable causes 1 The destination is write protected. 2 The controller has lost contact with a mounted device (e.g. NFS, FTP, USB). Recommended actions 1 Verify that the destination isn't write protected. 2 Verify that controller hasn't lost contact with a mounted device."
11220,Backup error,Error during the backup of Task. Unknown error. Consequences The backup request is aborted. No backup was created.
11221,Backup error,Error during the backup of Task. Error with file path: arg Consequences The backup request is aborted. No backup was created.
11222,Backup error,Error during the backup of Task. The backup already contains directories that are to be created. Consequences The backup request is aborted. No backup was created.
11223,Backup error,Error during the backup of Task. The directory lacks at least one necessary item. Consequences The backup request is aborted. No backup was created.
11224,Backup error,Error during the backup of Task. The directory does not exist. Consequences The backup request is aborted. No backup was created.
11225,Backup error,Error during the backup of Task. Directory cannot be created. Consequences The backup request is aborted. No backup was created. Probable causes 1 The destination is write protected. Continues on next page Technical reference manual - Event logs for RobotWare 7 31 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 2 Number series: 1 xxxx Continued
11226,Backup error,"Error during the backup of Task. Error while writing the backup. Consequences The backup request is aborted. No backup was created. Probable causes 1 The destination is write protected. 2 The controller has lost contact with a mounted device (e.g. NFS, FTP, USB). Recommended actions 1 Verify that the destination isn't write protected. 2 Verify that controller hasn't lost contact with a mounted device."
11229,Backup error,Error during the backup step Prepare. The given backup path is too long. Consequences The backup request is aborted. No backup was created. Probable causes The given backup path has exceeded the maximum allowed arg characters. Recommended actions Use a shorter path to create the backup.
11230,Backup error,Error during the backup of Task. No more objects. Consequences The backup request is aborted. No backup was created.
11231,Backup error,Error during the backup of Task. The directory lacks at least one necessary item. Consequences The backup request is aborted. No backup was created.
11236,Backup error,Error during the backup of Task. Write error. Consequences The backup request is aborted. No backup was created. Recommended actions Check: No space left on device. Corrupt device.
11237,Backup error,Error during the backup of Task. At least one modname is too long. Consequences The backup request is aborted. No backup was created.
11238,Backup error,Error during the backup of Task. Low on program memory. Consequences The backup request is aborted. No backup was created. Probable causes The backprocess needs program memory to store persistent variables. Recommended actions 1 Stop the program before taking the backup. 2 Reduce the number of persistent variables in program. 3 Reduce the rapid program. Continues on next page 32 Technical reference manual - Event logs for RobotWare 7 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 2 Number series: 1 xxxx Continued
11261,Backup removed,Error while creating a backup at path: arg Consequences The backup request is aborted. No backup was created. Probable causes 1 Available disk space on the controller may be insufficient to perform the requested action. 2 Check for other error messages regarding backup.
11262,Backup error,Error during the backup of Controller Settings. Consequences The backup request is aborted. No backup was created. Probable causes Check for other error messages regarding backup.
11263,Backup operation failed,"The user arg does not have the required UAS grant UAS_BACKUP for the requested backup operation. Consequences The backup operation was not performed. Probable causes The user does not have the required UAS grant, is not logged on or has an invalid user id. Recommended actions Log in as another user that has the required UAS grant, or add the grant to the existing user. If shown after a System Diagnostics file generation, please regenerate it after solving the UAS issues."
12020,Restore error,Error during the restore step Prepare. Unknown error. Recommended actions arg .
12023,Restore error,Error during the restore step Prepare. The directory lacks at least one necessary item. Recommended actions arg .
12024,Restore error,Error during the restore step Prepare. The directory does not exist. Recommended actions arg .
12029,Restore error,Error during the restore step Prepare. The path is too long. Probable causes The maximum allowed arg characters has been exceeded. Recommended actions Make sure no files with deep structures or long names have been added to the backup used to restore from.
12030,Restore error,Error during the restore step Prepare. No more objects. Recommended actions arg .
12031,Restore error,Error during the restore step Prepare. The directory lacks at least one necessary item. Recommended actions arg .
12032,Restore error,Error during the restore step Prepare. The system version doesn't match the backup. Continues on next page Technical reference manual - Event logs for RobotWare 7 33 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 2 Number series: 1 xxxx Continued
12033,Restore error,Error during the restore step Prepare. Error restoring configuration parameters. Recommended actions arg .
12035,Restore error,Error during the restore step Prepare. Mismatch between current system and the backup. Recommended actions arg .
12036,Restore error,Error during the restore step Prepare. Write error. Recommended actions arg .
12120,Restore error,Error during the restore step Configuration.
12123,Restore error,Error during the restore step Configuration. The directory lacks at least one necessary item.
12129,Restore error,Error during the restore step Prepare. The path is too long. Probable causes The maximum allowed arg characters has been exceeded. Recommended actions Make sure no files with deep structures or long names have been added to the backup used to restore from.
12130,Restore error,Error during the restore step Configuration. No more objects.
12131,Restore error,Error during the restore step Configuration. The directory lacks at least one necessary item.
12134,Restore error,Error during the restore step Configuration. Error restoring configuration parameters.
12136,Restore error,"Error during the restore step Configuration. Write error. Probable causes There might be some files located in the target HOME directory that are in use. The restore operation cannot overwrite the file(s). Recommended actions Check if there are any open files, and if so, close them."
12220,Restore error,Error during the restore of Task. Unknown error.
12230,Restore error,Error during the restore of Task. No more objects
12231,Restore error,Error during the restore of Task. The directory lacks at least one necessary item. Continues on next page 34 Technical reference manual - Event logs for RobotWare 7 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 2 Number series: 1 xxxx Continued
12236,Restore error,Error during the restore of Task. Write error.
12320,Restore error,Error during the restore of User Task. Unknown error.
12323,Restore error,Error during the restore of User Task. The directory lacks at least one necessary item.
12338,Restore error,Error during the restore of User Task. Unknown task.
12341,Restore error,Error during the restore of Controller Settings.
12342,Restore error,Error during the restore of Safety Settings.
12350,Backup pending,A backup will not be completed until the system input signal Disable Backup is set and reset.
12351,Backup pending,The system input signal Disable Backup is set. A backup will not be completed until the system input signal Disable Backup is reset.
12510,Network subnet mask illegal,"The subnet mask arg for network interface arg is illegal. Consequences The network interface will not be configured, and may not be used. Probable causes The network subnet mask may be mistyped. Recommended actions 1 Make sure the network subnet mask is correct."
12511,Network interface IP address illegal,"The network IP address arg for interface arg is illegal/missing. Consequences The interface will not be configured, and may not be used. Probable causes The network IP address may be mistyped or it already exists on the network. Recommended actions 1 Make sure the interface IP address is correct and not a duplicate."
12512,Network gateway IP address illegal,"The gateway IP address arg is illegal/missing or the destination IP address arg is illegal. Consequences The network will not be reached, and may not be used. Probable causes The gateway IP and/or destination IP addresses may be mistyped. Recommended actions 1 Make sure the gateway IP and destination IP addresses are correct."
12513,No parameters from the DHCP server,"The network interface arg has not received any parameters from the DHCP server. Consequences The interface will not be configured, and may not be used. Probable causes The LAN connection is not working -The DHCP server is not activated. Continues on next page Technical reference manual - Event logs for RobotWare 7 35 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 2 Number series: 1 xxxx Continued"
12514,Network interface initialization error,"The network interface arg could not be initialized. Consequences The interface will not be configured, and may not be used. Probable causes The network parameters may be wrong. • Although unlikely, the hardware may be faulty, requiring replacement. Recommended actions 1 Make sure the network parameters for the interface at hand are correct. 2 Isolate the cause, by replacing the suspected hardware."
12515,Network interface IP addresses overlap,"The network IP address for ' arg ' is overlapping with IP address for ' arg '. Consequences The interface will not be configured, and may not be used. Probable causes The network IP address and subnet mask overlaps with other IP address and subnet mask. Recommended actions 1 Make sure the interface IP address and subnet mask are correct."
12516,Port forwarding configuration failed,"Attempt to setup forwarding to IP address ' arg ' and port ' arg ' did not succeed. Consequences The port forwarding is not active. Probable causes The configuration is invalid or it has been rejected by the controller for security reasons. Recommended actions 1 Make sure that the listening interface has an IP address configured. 2 Try another listening port, in case it is in conflict with another service on the controller. 3 Check for other log messages."
12521,Network service disabled,The network service arg is disabled on the arg network of the controller. Consequences Communication ports cannot be opened for the network service. Recommended actions Enable the network service arg on the arg network in the Firewall Manager configuration.
12610,Available RAM memory low,The available amount of RAM memory is low. Total RAM memory size: arg bytes. Free: arg bytes. Consequences The system may run out of memory. Recommended actions It is recommended to restart the system.
12611,Available RAM memory very low,The available amount of RAM memory is very low. Total RAM memory size: arg bytes. Free: arg bytes. Consequences The system may run out of memory. Memory allocation for non-production critical functionality will be rejected. Recommended actions It is highly recommended to restart the system.
12612,Available RAM memory too low,The available amount of RAM memory is too low. Total RAM memory size: arg bytes. Free: arg bytes. Consequences The system will enter System Failure State. Continues on next page 36 Technical reference manual - Event logs for RobotWare 7 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 2 Number series: 1 xxxx Continued
12620,Mass storage predictive failure,The mass storage device has issued a predictive failure alert. Consequences The mass storage device can fail and data will be lost. Recommended actions 1 Back up data. 2 Replace the unit.
12700,Missing time zone information,No time zone information has been specified. Recommended actions Please use the FlexPendant or RobotStudio to set the time zone for your location.
12705,OPC UA Server up and running,OPC UA Server up and running on arg on Endpoint url.
12706,WAN IP Address Changed,Controller WAN IP Address is changed. Recommended actions Please update server application Instance certificate. Technical reference manual - Event logs for RobotWare 7 37 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 2 Number series: 1 xxxx Continued
20012,System failure state active,Fatal non-recoverable system error. Controller restart is required. Recommended actions Turn the mains switch off and on again if the soft restart command is ignored or not possible to reach.
20030,Axis not commutated,One or several internal drive unit axes are not commutated. Recommended actions
20031,Axis not calibrated.,One or several absolute/relative measurement axes are not calibrated. Recommended actions Check what axis that are not calibrated and calibrate them.
20032,Rev. counter not updated,Revolution counter is not updated. One or several absolute measurement axes are not synchronized. Recommended actions Move the axes to the sync position and update the revolution counters.
20033,Axis not synchronized.,One or several relative measurement axes are not synchronized. Recommended actions Order Motors On and synchronize all mechanical units in the list.
20034,Robot memory is not OK,"This action or state is not allowed since data in the robot memory is not OK. Consequences All data must be OK before automatic operation is possible. Manually jogging of the robot is possible. Probable causes There are differences between the data in the robot and the backup of robot memory. This may be due to replacement of serial measurement board, controller or both, or manually cleared robot memory. Recommended actions 1 Update the robot memory as detailed in the operating manual for the controller."
20051,Not allowed command,"The command is only allowed when the client is in control of the resource (program/motion). Consequences The system remains in the same status, and the requested action will not be performed. Recommended actions 1 Check if the client is in control, by checking ""Write Access"" in RobotStudio. 2 Check if the client who ought to be in control really is."
20054,Not allowed command,"The command is NOT allowed when the program is executing. Consequences The system remains in the same status, and the requested action will not be performed. Recommended actions 1 Make sure the program is not executing."
20059,Not allowed command,"The command is not allowed when the file containing system persistent data is invalid (the system has been started using last good auto saved system data). Consequences The system remains in the same status, and the requested action will not be performed. Continues on next page Technical reference manual - Event logs for RobotWare 7 39 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 3 Number series: 2 xxxx"
20060,Not allowed command,"The command is not allowed in Auto mode. Consequences The system remains in the same status, and the requested action will not be performed. Recommended actions 1 Make sure the system is NOT in Auto Mode."
20061,Not allowed command,"The command is not allowed when changing to Auto mode. Consequences The system remains in the same status, and the requested action will not be performed. Recommended actions 1 Make sure the system is NOT changing to Auto Mode."
20062,Not allowed command,"The command is not allowed in Manual mode. Consequences The system remains in the same status, and the requested action will not be performed. Recommended actions 1 Make sure the system is NOT in Manual Mode."
20063,Not allowed command,"The command is not allowed in Manual full speed mode. Consequences The system remains in the same status, and the requested action will not be performed. Recommended actions 1 Make sure the system is NOT in Manual full speed Mode."
20064,Not allowed command,"The command is not allowed when changing to Manual full speed mode. Consequences The system remains in the same status, and the requested action will not be performed. Recommended actions 1 Make sure the system is NOT changing to Manual full speed Mode."
20066,Not allowed command,"The system input action arg is not allowed in Manual full speed mode. Consequences The system remains in the same status, and the requested action will not be performed. Recommended actions 1 Make sure the system is NOT in Manual full speed Mode."
20067,Not allowed command,"The system input action arg is not allowed when changing to Manual full speed mode. Consequences The system remains in the same status, and the requested action will not be performed. Recommended actions 1 Make sure the system is NOT changing to Manual full speed Mode."
20068,Not allowed command,"The command is not allowed in current energy state. Consequences The system remains in the same status, and the requested action will not be performed. Probable causes The system is in an energy saving state. Continues on next page 40 Technical reference manual - Event logs for RobotWare 7 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 3 Number series: 2 xxxx Continued"
20069,Not allowed command,"The command is not allowed when the robot is manually jogged. Consequences The system remains in the same status, and the requested action will not be performed. Probable causes The system is manually jogged."
20070,Not allowed command,"The command is not allowed in Motors ON state. Consequences The system remains in the same status, and the requested action will not be performed. Recommended actions 1 Make sure the system is in Motors OFF state."
20071,Not allowed command,"The command is not allowed while changing to Motors ON state. Consequences The system remains in the same status, and the requested action will not be performed. Recommended actions 1 Investigate by whom and why the action was requested, and, if required, correct the reason."
20072,Not allowed command,"The command is not allowed in Motors OFF state. Consequences The system remains in the same status, and the requested action will not be performed. Recommended actions 1 Make sure the system is in Motors ON state."
20073,Not allowed command,"The command is not allowed while changing to Motors OFF state. Consequences The system remains in the same status, and the requested action will not be performed. Recommended actions 1 Investigate by whom and why the action was requested, and, if required, correct the reason."
20074,Not allowed command,"The command is not allowed in Guard Stop state. Consequences The system remains in the same status, and the requested action will not be performed. Recommended actions 1 Make sure the system is NOT in Guard Stop state."
20075,Not allowed command,The command is not allowed in Emergency Stop state. Consequences Emergency stop reset is required. Recommended actions 1 Make sure the system is NOT in Emergency Stop state.
20076,Not allowed command,"The command is not allowed in system failure state. Consequences A non-recoverable system error has occurred, and a controller restart is required. Recommended actions 1 Make sure the system is NOT in Emergency Stop state. 2 Perform a restart as detailed in the operating manual for the controller. 3 If restarting is not possible, switch the main power OFF and then back ON."
20080,Not allowed command,The command is not allowed when axis has not been commutated. Continues on next page Technical reference manual - Event logs for RobotWare 7 41 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 3 Number series: 2 xxxx Continued
20081,Not allowed command,"The command is not allowed when axis is not calibrated. Consequences The system remains in the same status, and the requested action will not be performed. Recommended actions 1 Calibrate the axis as detailed in the Calibration Pendulum Instruction or the Instructions for Level-meter calibration, depending on which equipment to be used."
20082,Not allowed command,"The command is not allowed when axis revolution counter is not updated. Consequences The system remains in the same status, and the requested action will not be performed. Recommended actions 1 Update the revolution counter as detailed in the operating manual for the controller."
20083,Not allowed command,"The command is not allowed when axis is not synchronized. Consequences The system remains in the same status, and the requested action will not be performed. Recommended actions 1 Synchronize the axis as detailed in the Calibration Pendulum Instruction or the Instructions for Level-meter calibration, depending on which equipment to be used."
20084,Not allowed command,This command is not allowed since data in the robot memory is not OK. Consequences All data must be OK before automatic operation is possible. Manually jogging the robot is possible. Recommended actions 1 Update the robot memory as detailed in the operating manual for the controller.
20088,Automatic Mode Rejected,The speed could not be set to 100% when automatic mode was requested. Consequences The system cannot enter automatic mode. Probable causes The speed could not be set to 100%. Recommended actions 1 Switch back to manual mode. 2 a) Set the speed in the QuickSet menu.b) or set System Parameter Controller/Auto Condition Reset/AllDebugSettings/Reset to No if the system should be in debug mode when switching to auto. 3 Switch back to automatic mode and confirm.
20089,Automatic Mode Rejected,"The call chain was altered to begin at a routine other than main and could not be reset to main when automatic mode was requested. Consequences The system cannot enter automatic mode. Probable causes Program pointer could not be set to Main. Recommended actions 1 Switch back to manual mode. 2 a) Move PP to main.b) or if the program always shall start at the new routine, change System Parameter ""Main entry"" (Domain Controller, Type Task) to the new routine name.c) or set System Parameter Controller/Auto Condition Reset/AllDebugSettings/Reset to No if the system should be in debug mode when switching to auto. Continues on next page 42 Technical reference manual - Event logs for RobotWare 7 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 3 Number series: 2 xxxx Continued"
20092,Not allowed command,Not allowed in state System IO Start Blocked. Recommended actions
20093,Automatic Mode Rejected,One or more of the NORMAL tasks were disabled and could not be enabled when automatic mode was requested. Consequences The system cannot enter automatic mode. Probable causes It is not possible to reset Task Selection Panel in synchronized block. Recommended actions 1 Switch back to manual mode. 2 a) Set PP to main.b) or step out of synchronized block.c) or set System Parameter Controller/Auto Condition Reset/AllDebugSettings/Reset to No if the system should be in debug mode when switching to auto. 3 Switch back to automatic mode and confirm.
20094,Load name could not be found,Load name arg could not be found. Consequences It is not possible to jog without a correct defined load. Probable causes The module with the load definition is probably deleted. Recommended actions Load module with load definition. Choose other load.
20095,Tool name could not be found,Tool name arg could not be found. Consequences It is not possible to jog without a correct defined tool. Probable causes The module with the tool definition is probably deleted. Recommended actions Load module with tool definition. Choose other tool.
20096,WorkObject name could not be found,WorkObject name arg could not be found. Consequences It is not possible to jog without a correct defined workobject. Probable causes The module with the workobject definition is probably deleted. Recommended actions Load module with workobject definition. Choose other workobject.
20103,Controller busy updating Task Selection,The Task Selection Panel is having an update. It is not possible to do the requested command. Recommended actions Perform the command again or restart the controller and perform the command again.
20104,The system path is too long.,The system path is too long. It is not possible for the system to act in a safe way. Consequences The system will enter system failure state. Recommended actions Move the system to a location with a shorter file path.
20105,Backup already in progress,"A backup is already in progress. Consequences The command ""Backup"" from System Input Signal will be rejected. Recommended actions Use System Output Signal ""Backup in progress"" to control if a backup can be started."
20106,Backup path,There are errors in the backup path or the backup name in the configuration for the System Input Backup. The directory for Continues on next page Technical reference manual - Event logs for RobotWare 7 43 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 3 Number series: 2 xxxx Continued
20126,Load data has changed,"The active load arg was removed and replaced with arg . The load data was located in task: arg connected to mechanical unit arg . Consequences The load definition for jogging may not be correct. Probable causes The load data was removed. The module containing the original tool definition may have been deleted. Recommended actions If you require the old definition, locate the program or module of the original load data and load it."
20127,Tool data has changed,"The active tool arg was removed and replaced with arg . The tool data was located in task: arg connected to mechanical unit arg . Consequences The tool definition for jogging may not be correct. Probable causes The tool data was removed. The module containing the original tool definition may have been deleted. Recommended actions If you require the old definition, locate the program or module of the original tool data and load it."
20128,Work object data has changed,"The active work object arg was removed and replaced with arg . The work object data was located in task: arg connected to mechanical unit arg . Consequences The work object definition for jogging may not be correct. Probable causes The work object data was removed. The module containing the original tool definition may have been deleted. Recommended actions If you require the old definition, locate the program or module of the original work object data and load it."
20131,Automatic Mode Rejected,"One or more logical I/O signals were blocked and could not be unblocked when automatic mode was requested. Consequences The system cannot enter automatic mode. Probable causes Some blocked I/O signal could not be unblocked. Recommended actions 1 Switch back to manual mode. 2 a) Check Event Log for errors related to I/O,b) or set System Parameter Controller/Auto Condition Reset/AllDebugSettings/Reset to No if the system should be in debug mode when switching to auto. 3 Switch back to automatic mode and confirm."
20132,Blocked I/O signals,"One or more logical I/O signals were blocked during startup in automatic mode. Consequences Blocked signals will be unblocked. Probable causes System was switched to automatic mode during a controller restart. System parameter AllDebugSettings is set to Yes. Recommended actions None, system has automatically reset debug settings. To keep debug settings in auto: Continues on next page 44 Technical reference manual - Event logs for RobotWare 7 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 3 Number series: 2 xxxx Continued"
20133,Debug Settings in Auto,"One or more logical I/O signals were blocked during startup in automatic mode. Consequences Blocked I/O signals will stay blocked. System will not be in full production mode in auto. Recommended actions For full production mode: 1 Switch back to manual mode. 2 Set system parameter Controller/Auto Condition Reset/AllDebugSettings/Reset to YES. 3 Switch back to automatic mode and confirm. 4 For more info, see the Technical Reference Manual - System Parameters."
20134,Call Chain,"The call chain has been altered to begin at a routine other than main. Consequences Program pointer will be reset to main routine. Probable causes System was switched to automatic mode during controller restart. System parameter AllDebugSettings is set to Yes. Recommended actions For debug mode in auto: 1 Switch back to manual mode. 2 Set system parameter AllDebugSetting, reset to NO. 3 Switch back to automatic mode and confirm. 4 For more info, see the Technical Reference Manual - System Parameters."
20135,Debug Settings in Auto,"The call chain has been altered to begin at a routine other than main. Consequences Program pointer will not be set to main. System will not be in full production mode in auto. Recommended actions For full production mode: 1 Switch back to manual mode. 2 Set system parameter Controller/Auto Condition Reset/AllDebugSettings/Reset to YES. 3 Switch back to automatic mode and confirm. 4 For more info, see the Technical Reference Manual - System Parameters."
20136,Reduced Speed,"The system was running at reduced speed during startup in automatic mode. Consequences Speed will be set to 100%. Probable causes System was switched to automatic mode during controller restart. Recommended actions None, system has automatically reset debug settings. To keep debug settings in auto: 1 Switch back to manual mode. 2 Set system parameter Controller/Auto Condition Reset/AllDebugSettings/Reset to NO. 3 Switch back to automatic mode and confirm. 4 For more info, see the Technical Reference Manual - System Parameters."
20137,Debug Settings in Auto,The system was running at reduced speed during startup in automatic mode. Consequences Speed will stay unchanged. System will not be in full production mode in auto. Recommended actions For full production mode: 1 Switch back to manual mode. 2 Set system parameter Controller/Auto Condition Reset/AllDebugSettings/Reset to YES. 3 Switch back to automatic mode and confirm. Continues on next page Technical reference manual - Event logs for RobotWare 7 45 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 3 Number series: 2 xxxx Continued
20138,Disabled Tasks,"One or more of the NORMAL tasks were disabled during the startup when in automatic mode. Consequences All disabled normal tasks will be enabled. Probable causes System was switched to automatic mode during controller restart. System parameter AllDebugSettings is set to Yes. Recommended actions None, system has automatically reset debug settings. To keep debug settings in auto: 1 Switch back to manual mode. 2 Set system parameter Controller/Auto Condition Reset/AllDebugSettings/Reset to NO. 3 Switch back to automatic mode and confirm. 4 For more info, see the Technical Reference Manual - System Parameters."
20139,Debug Settings in Auto,"One or more of the NORMAL tasks were disabled during startup in automatic mode. Consequences Disabled tasks will stay disabled. System will not be in full production mode in auto. Recommended actions For full production mode: 1 Switch back to manual mode. 2 Set system parameter Controller/Auto Condition Reset/AllDebugSettings/Reset to YES. 3 Switch back to automatic mode and confirm. 4 For more info, see the Technical Reference Manual - System Parameters."
20140,Motors On rejected,"Motors On, via System IO, was rejected. Recommended actions"
20141,Motors Off rejected,"Motors Off, via System IO, was rejected. Recommended actions"
20142,Start rejected,"Start/restart of program, via System IO, was rejected. Consequences Program will not be possible to start. Probable causes • The reason could be that the robot is outside of regain distance. • The program was executing. • An ongoing Backup operation. Recommended actions • Jog robot into regain zone or move the program pointer. • Stop program before activating System Input Start."
20143,Start at main rejected,"Start of program at main, via System IO, was rejected. Consequences Program will not be possible to start. Probable causes • The program was executing. • An ongoing Backup operation. Recommended actions Stop program before activating System Input Start at Main."
20144,Stop rejected,"Stop of program, via System IO, was rejected. Recommended actions"
20145,Stop cycle rejected,"Stop of program after cycle, via System IO, was rejected. Recommended actions Continues on next page 46 Technical reference manual - Event logs for RobotWare 7 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 3 Number series: 2 xxxx Continued"
20146,Manual interrupt rejected,"Manual interrupt of program, via System IO, was rejected. Consequences The manual interrupt will not be executed. Probable causes • The program was executing. • An ongoing Backup operation. Recommended actions Stop program before activating System Input Interrupt."
20147,Load and start rejected,"Load and start of program, via System IO, was rejected. Consequences Program will not be possible to start. Probable causes • The arguments for the System Input Load and Start are wrong: . • The module was loaded, but the system failed to set the program pointer. • The program was executing. • An ongoing Backup operation. Recommended actions Check the following: • Correct arguments for System Input Load and Start. • Defined and correct name of the program file to be loaded (including mass memory unit). • Defined and correct name of the task that the program should be loaded in. • Program stopped before activating System Input Load and Start."
20149,Error reset rejected,"Program execution error reset, via System IO, was rejected. Recommended actions"
20150,Load failure,"Load of program, via System IO, failed. Consequences Program will not be possible to start. Probable causes • The arguments for the System Input Load are wrong: . • The module was loaded, but the system failed to set the program pointer. • The program was executing. • An ongoing Backup operation. Recommended actions Check the following: • Correct arguments for System Input Load. • Defined and correct name of the program file to be loaded (including mass memory unit). • Defined and correct name of the task that the program should be loaded in. • Program stopped before activating System Input Load."
20153,Motors On and Start rejected,"Motors On and Start/Restart of program, via System IO, was rejected. Consequences Program will not be possible to start. Probable causes • The reason could be that the robot is outside of regain distance. • The program was executing. • An ongoing Backup operation. Recommended actions • Jog robot into regain zone or move the program pointer. • Stop program before activating System Input Motors On and Start."
20154,Stop instruction rejected,"Stop of program after instruction, via System IO, was rejected. Recommended actions"
20156,Undefined Argument,Interrupt routine name for System IO Manual Interrupt is not defined. Recommended actions Configure the interrupt routine name. Continues on next page Technical reference manual - Event logs for RobotWare 7 47 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 3 Number series: 2 xxxx Continued
20157,Undefined Argument,Program name for System IO LoadStart is not defined. Recommended actions Configure the program name.
20158,No System Input signal,A System Input has been configured to an I/O-signal that does not exist. System Input: arg . Signal Name: arg . Consequences The system goes to system failure state. Recommended actions Add signal arg to eio.cfg or remove System Input arg from eio.cfg. For every System Input a signal must be configured.
20159,No System Output signal,A System Output has been configured to an I/O-signal that does not exist. System Output: arg . Signal Name: arg . Consequences The system goes to system failure state. Recommended actions Add signal arg to eio.cfg or remove System Output arg from eio.cfg. For every System Output a signal must be configured.
20161,Path not found,"The system module arg in task arg has a corresponding specification in the configuration for ""Task modules"" that point out a non-existing file path. Recommended actions View ""Task modules"" in the ""System Parameter"" menu and change the path in the item for this system module."
20162,Write error,"A write error occur when the system try to save the system module arg at arg in task arg . Or the file system was full. Recommended actions View ""Task modules"" in the ""System Parameter"" menu and change the path in the item for this system module."
20164,Reconfig failed,There are still some unsaved system modules. Recommended actions Read error descriptions in earlier messages. Try another system start.
20165,Program Pointer lost.,Restart is no longer possible from current position. Recommended actions The program has to be started from the beginning.
20166,Refuse to save module,The module arg is older than the source at arg in task arg . Recommended actions
20167,Unsaved module,The module arg is changed but not saved in task arg . Recommended actions
20170,The system was stopped,"An error was detected, which stopped the system. Consequences The system goes to status SYS STOP and the robot is stopped along the path. Probable causes A number of errors may cause this status transition. Recommended actions 1 Check other event messages occurring at the same time to determine the actual cause. 2 Fix the cause of the fault."
20171,The system was halted,"An error was detected, which halted the system. Consequences The system goes to status SYS HALT, the program and robot motion is stopped and the motors are switched OFF. Continues on next page 48 Technical reference manual - Event logs for RobotWare 7 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 3 Number series: 2 xxxx Continued"
20172,The system has failed,"An error was detected, which caused the system to fail. Consequences The system goes to system failure state. The program and robot motion is stopped and the motors are switched OFF. Probable causes A number of errors may cause this status transition. Recommended actions 1 Check other event messages occurring at the same time to determine the actual cause. 2 Fix the cause of the fault. 3 Perform a controller restart as detailed in the operating manual for the controller."
20176,Analog System Output Outside Limits,"The value arg for the System Output arg , signal arg , is outside its limits (logical min: arg m/s, logical max: arg m/s). Consequences The new value is not set; the previous value of the analogue signal is preserved. Probable causes The logical upper and/or lower limit for the signal may be defined wrongly. Recommended actions Adjust the values of the logical upper and/or lower limit for the signal and restart the controller."
20178,Wrong task name configured,Wrong task name arg configured for System Input arg . Consequences The digital input signal will not be connected to the specified event. Recommended actions Change the configuration and restart the controller.
20181,System Reset rejected.,System Reset via System IO not allowed. Recommended actions
20182,The System Input Signal QuickStop is,"QStop of program, via System IO, was rejected. Recommended actions"
20184,Incorrect argument for System Inputs,An undefined Start Mode has been declared for System IO. Recommended actions
20188,System data is not valid,"The contents of the file, containing system persistent state is invalid. Internal error code: arg . The system has been started using last good auto-recovery state saved earlier at arg . Consequences Any changes made in the system configuration or RAPID programs since arg are lost. Probable causes The backup energy bank may have been drained at the time of the shutdown or software problem during shutdown. Recommended actions • Check other event messages to help determine the actual cause. • If acceptable, acknowledge the auto-recovered system data. • Reset the system and load user backup. • Reinstall the system and load user backup. • Report the problem to ABB support and attach system diagnostics data."
20189,Robot data not valid,Could not load robot data from file. The file exists but the content is not valid. Internal code: arg . Continues on next page Technical reference manual - Event logs for RobotWare 7 49 3HAC066553-001 Revision: P © Copyright 2019-2024 ABB. All rights reserved. 3 Number series: 2 xxxx Continued
20193,Robot data update warning,Axis sync values and service information data (SIS) was restored from auto-recovery backup. The robot data was not saved during system shutdown. Recommended actions Check other event log messages that may indicate software problems. The backup battery may be drained. Check the hardware log.
20194,Auto-recovery backup could not be,The system state was restored successfully on startup but a auto-recovery backup of the current system state could not be created. Recommended actions Report this problem to ABB support.
