Event Code,Description
40740,Execution Error
40741,Context Error
40742,Parameter Error
40743,Parameter Error
40744,Parameter Error
40745,Parameter Error
40746,Parameter Error
40747,Access Error
40748,Value Error
40749,Execution Error
40752,Argument Error
40753,Memory Fault
40754,Argument Error
40755,Context Error
40756,Context Error
40757,Argument Error
40759,Parameter Error
40761,Parameter Error
40762,Value Error
40763,Execution Error
40764,Switch Argument Error
40765,Argument Error
40766,Parameter Error
40767,Search Error
40768,Symbol Access Error
40769,Symbol Read Access Error
40770,Symbol Type Error
40771,Symbol Access Error
40772,I\O Error
40773,Instruction Interrupted
40774,Object Dropped
40775,Conveyor Error
40776,Conveyor Error
40777,Conveyor Error
40778,Value Error
40779,Error Number Local
40780,Data Object Error
40781,File Error
40782,Mode Error
40783,Mode Error
40784,Mode Error
40785,Mode Error
40786,Read Error
40787,User Frame Error
40788,Axis Error
40789,Limitation Error
40790,Value Error
40791,I/O Error
40792,I/O Error
40793,Error Installing Text Table
40794,Error Installing Text Table
40795,Error Installing Text Table
40796,Overload Error
40797,I/O Error
40798,System Access Error
40799,Execution Error
40800,Tool Error
40801,Calculation error
40802,Execution Error
40803,Error message too long
40804,Argument Error
40805,Motion Error
40806,IOF Error
40807,File Error
40811,No Contact With I/O Device
40812,Execution Error
40813,Execution Error
40814,Execution Error
40816,RolGenInstr Error
40817,Symbol Definition Error
41050,Profile not activated
41051,Recorded profile not stored
41052,Can't use this profile data file
41100,Too Many Corrections
41101,Correction Not Connected
41102,No Corrections Connected
41200,Servo Tool Open Error
41203,Servo Tool Error
41204,Servo Tool error
41205,Servo Tool Error
41206,Servo Tool Parameter Error
41207,Servo Tool Init Error
41208,Servo Tool Synchronization Error
41209,Servo Tool Activation Error
41210,Servo Tool Error
41211,Servo Tool Error
41212,Servo Tool Error
41300,Argument Error
41301,Argument Error
41302,Argument Error
41303,Argument Error
41304,Argument Error
41400,Parameter Error
41401,I/O Error
41404,Parameter Error
41405,Parameter Error
41406,Parameter Error
41407,Parameter Error
41408,Parameter Error
41409,Parameter Error
41410,Parameter Error
41411,Parameter Error
41412,Parameter Error
41413,Parameter Error
41414,Parameter Error
41415,Parameter Error
41416,Parameter Error
41417,System Access Error
41419,Parameter Error
41420,Parameter Error
41421,Parameter Error
41422,Parameter error
41423,Parameter Error
41424,Parameter Error
41425,Parameter Error
41426,I/O Error
41427,Argument Error
41428,Axis Error
41429,Axis Error
41431,System Access Error
41432,System Access Error
41433,Parameter Error
41435,Parameter Error
41437,System Access Error
41438,Undefined Load
41439,Undefined Load
41440,Argument Is Missing
41441,UnLoad Error
41442,Reference Error
41443,Argument Error
41444,Argument Error
41445,Argument Error
41446,Argument Error
41447,Argument Error
41448,Argument Error
41449,Value Error
41450,Argument Error
41451,Argument Error
41452,Argument Error
41453,Type Error
41454,Reference Error
41455,System Access Error
41456,Argument Error
41457,Argument Error
41458,Argument Error
41459,Argument Error
41460,Argument Error
41461,Value Error
41462,Value Error
41463,Argument Switch Is Missing
41464,Index Too High
41465,The String Is Empty
41466,The Variables Are Equal
41467,Value Error
41468,Value Error
41469,Value Error
41470,Argument Error
41471,Instruction Error
41472,Instruction Error
41474,Value Error
41475,Wrong size of task list
41476,Non-consistent task list
41477,TimeOut
41480,UnpackRawBytes Error
41483,Argument Error
41484,TimeOut
41486,Instruction Error
41487,Instruction Error
41488,Value Error
41490,TimeOut
41491,Instruction Error
41492,Instruction Error
41493,Execution Error
41494,Instruction error
41495,Move PP Error
41496,Move PP Error
41497,Move PP Notification
41498,No Defined UserFrame In Mechanical Unit
41499,Synchronized Mode
41500,Independent Mode
41501,Illegal Id
41502,Illegal Domain
41503,Illegal Error Type
41504,No Mechanical Unit Stated
41505,Mechanical Unit Not In Task
41506,Task Does Not Read a TCP Robot
41508,LoadId Error
41509,LoadId Error
41510,LoadId Error
41511,LoadId Error
41512,Internal Error
41513,LoadId Error
41514,LoadId Error
41515,LoadId Error
41516,LoadId Error
41517,LoadId Error
41518,LoadId Error
41519,LoadId Error
41520,Error Recovery Constant Not Booked
41521,Task Status Error
41522,Wrong Error Recovery Constant Used
41523,Argument Error
41524,Instruction Error
41525,Instruction Error
41526,Instruction Error
41527,Argument Switch Is Missing
41528,Instruction Error
41529,Instruction Error
41530,Instruction error
41531,Task Not In TaskList
41532,Mismatch of task list
41533,Mismatch Of SyncID
41534,Inconsistent Synch Data
41535,Unexpected SyncMoveOn
41536,Unexpected SyncMoveOn
41537,Unexpected SyncMoveOff
41538,Wrong TaskList
41539,Speed Too High
41540,Wrong Mechanical Unit
41541,Not Allowed From a Read Task
41542,Program Stop
41543,Argument Error
41544,Obsolete Instruction
41545,Argument Error
41546,Argument Error
41547,Argument Error
41549,Unexpected SyncMoveOn or SyncMoveOff
41550,PathRecorder Start/Stop Error
41551,PathRecorder Move Error
41552,PathRecorder Path Level Error
41553,Destroyed Data
41554,Synchronized Mode
41555,No Contact With I/O Device
41556,No Contact With I/O Device
41557,Mechanical Unit not stopped
41558,Argument Switch Missing
41559,Not PERS variable
41560,No Start of Movement
41561,No Text in Function Key
41562,Risk for faulty circular movement
41563,Argument Error
41564,Not allowed to run from a Motion Task
41565,Not allowed value
41566,Signal exceeds max number of allowed
41567,Digital Output Break
41568,Specified name is not a network
41569,Socket error
41570,Socket error
41571,Socket error
41572,Socket error
41573,Socket error
41574,Socket error
41575,Socket error
41576,Socket error
41577,Socket error
41578,Socket error
41579,Socket error
41580,Socket error
41581,Socket error
41582,Socket error
41583,Socket error
41584,Socket error
41585,Socket error
41586,Socket error
41587,Socket error
41588,Socket error
41589,Socket error
41590,Socket error
41591,Socket error
41592,Socket error
41593,Socket error
41594,Socket error
41595,Socket error
41596,Socket error
41597,Socket error
41598,Socket error
41599,Socket error
41600,Socket error
41601,Socket error
41602,Socket error
41603,Socket error
41604,Socket error
41605,Socket error
41606,Socket error
41607,Socket error
41608,Socket error
41612,MinValue greater than MaxValue
41613,InitValue not within specified value range
41614,InitValue is not an integer
41615,Reference Error
41616,Reference Error
41617,Too intense frequency of Write
41618,Argument error buttondata
41619,Argument error icondata
41620,Socket Error
41621,StorePath Error
41622,Unexpected instruction
41623,Faulty use of
41625,Unexpected
41626,Unexpected
41627,Faulty use of
41630,Unsafe Synchronization
41631,Instruction Error
41632,Argument does not exist
41633,Can only be used in an UNDO handler
41634,Unknown Task Name
41635,Unexpected SyncMoveOff
41636,Unexpected SyncMoveOff
41637,Task not active in task selection panel
41638,Not allowed task activation
41640,Move PP Warning
41641,Move PP Warning
41642,Argument Error
41643,Argument Error
41644,Argument Error
41645,Program Stopped from RAPID
41646,Program Blocked from RAPID
41647,Program Halted from RAPID
41648,Execution Error
41649,Incorrect Error Message
41650,Task already stopped by another task
41651,Ignored StartMove actions for task
41652,Forced StartMove action
41653,Argument error CalcJointT
41654,Execution error CalcJointT
41655,Argument not a Motion task
41656,Not allowed value
41657,File Access Error
41658,Program task is in StopMove state
41660,No space left for the new view
41661,Assembly could not be found
41662,Assembly could not be loaded
41663,Instance could not be created
41664,The typename is invalid for this assembly
41665,
41666,Fatal UIShow error
41667,Fatal UI error
41670,Entire Array Not Allowed As Argument
41671,Too high poll rate
41672,Invalid Combination
41673,Index Out Of Bounds
41674,Value Out Of Bounds
41675,Not Integer
41676,Device access error
41677,Device access error
41678,Device access error
41679,Device access error
41680,String too long
41682,Too many subscriptions from I/O
41683,Argument Error
41685,Not valid value
41687,File Open Error
41688,Invalid Argument
41690,Parameter Error
41691,RMQ Error - Client name not valid
41692,RMQ Error - Not valid Slot
41693,RMQ Error - Max size for message
41694,RMQ Error - Not equal data types
41695,RMQ Error - Not equal dimensions on data
41696,RMQ Error - Not valid use of instruction
41697,RMQ Error - No RMQ configured
41698,RMQ Error - Faulty use of instruction
41699,RMQ Error - Max size for message
41700,RMQ Error - Interrupt setup failed
41701,RMQ Error - No message to collect
41702,RMQ Error -
41703,RMQ Error - Data could not be copied
41704,RMQ Error - Full Queue
41705,RMQ Error - Max Time Expired
41706,RMQ Error - Max Time Expired
41707,RMQ Error - Instruction invalid in current
41708,RMQ Error - Invalid message
41711,Value is not percent
41712,Argument Error
41713,Argument Error
41714,Too many error events
41715,Invalid Direction
41716,Invalid Offset Direction
41717,Too Low Value
41718,Invalid Dimensions
41719,Illegal Parameter
41720,Path Not In Stop Point
41721,Invalid Argument
41722,Too High Value
41723,Network is in error state
41724,Current Work Object is Invalid
41725,Invalid Configuration Settings
41726,Ignored StopMoveReset actions for task
41727,The size cannot be represented in a num
41730,Signal exceeds max number of allowed
41731,Signal name undefined
41732,Too many trigs used
41737,Instruction order Error
41738,Wrist Interpolation option needed
41739,StorePath required
41740,Load Identification failed
41744,Instruction Error
41745,Instruction Error
41746,Instruction Error
41747,Process signal off
41748,Value Error
41749,Value Error
41750,Not allowed value
41751,Array size error
41752,Num Limit Error
41753,Invalid path level
41754,Path Recorder cleared
41755,Path time too long
41756,Missing FricIdInit
41757,Mechanical unit not found
41758,Array too small
41759,Signal exceeds max number of allowed
41760,
41761,Value out of range
41762,The argument string value is invalid
41763,The argument string value is too high
41764,Wrong combination in
41765,The argument value is too high
41766,The precision will be lost
41767,Instruction Error
41768,Switch is missing
41769,Service data not found
41770,System Access Error
41771,Cancel load of job
41772,Parameter Error
41773,Timeout
41774,Type error
41775,Ongoing request towards camera
41776,No more data available
41777,The camera is not connected
41778,Failed to load job
41779,Parameter cannot be modified
41780,Camera is in program mode
41781,Camera is in running mode
41782,Camera does not support this
41783,Communication timeout
41784,Communication error
41785,Failed to request image
41786,Parameter out of range
41787,Parameter cannot be read
41788,No ongoing load of camera task
41790,No results in image
41791,SoftMove is not allowed with zero mass
41792,Instruction not allowed
41793,TriggInt stop error
41794,Search error
41795,Wrong payload mode
41796,Argument Error
41797,Signal not accessible
41798,No TCP robot found
41799,Speed value too low
41800,Manual action needed
41801,In synchronized mode
41802,Not supported instruction or function
41803,Argument Error
41804,Not allowed command
41805,Illegal dimension
41806,The matrix A is singular
41807,Not enough memory
41808,Illegal dimension
41809,Illegal dimension
41810,Only allowed for 6 axis robot
41811,Not allowed to reset signal
41812,Domain not valid or not in use
41813,File or directory access error
41814,Reference Error
41815,Reference error in Cyclic bool
41816,Too many connected Cyclic bool
41817,I/O Error in Cyclic bool
41818,SDB Error in Cyclic bool
41819,Integer Error in Cyclic bool
41820,Invalid EGM identity
41821,No EGM signals specified
41822,No data from the UdpUc device
41823,Invalid frame type
41824,Not possible to open the UdpUc device
41825,EGM not connected
41826,EGM mode mismatch
41827,TCP robot missing
41828,Too many EGM instances
41829,EGM state change error
41830,Error sending EGM UdpUc message
41831,ContactL Warning
41832,EGM UdpUc inbound message contains
41833,EGM input data from signals is invalid
41834,ALXT General error
41835,ALXT timeout
41836,Wrong dimension in PERS array
41840,Argument error
41841,Argument error
41842,Argument error
41843,Instruction not allowed in TRAP or service
41844,Search Error
41845,Outside reach Error
41846,Signal not writable
41847,Signal not writable
41848,Too low visualization time
41849,Bad combination of values used in
41850,User interface already active
41851,Wrong value type used
41852,Wrong signal value for signal
41860,Evaluation error in Cyclic bool
41861,Cyclic bool has been removed
41862,ASCII log setup failed
41863,Mechanical unit not TCP robot
41864,Argument error
41865,Invalid MAC address
41880,AliasCamera Define Error
41881,Persistent boolean Break
41882,Error in Cyclic bool
41883,
41884,CyclicBrakeCheck Error
41885,BrakeCheck Error
41886,CyclicBrakeCheck Error
41887,BrakeCheck Error
41888,Not allowed command
41889,Value error
41890,Parameter error
41891,Too few points
41892,Too few points
41893,Too few points
41894,Too few points
41895,Too many points
41896,Argument error
41897,Argument error
41898,Argument error
41899,Argument error
41900,Orientation Value Error
41901,Text Table Name not valid
41902,Speed override changed
41903,"Brake Check,"
41905,Argument error
41906,Path Not In Stop Point
41907,Too far from path
41908,Instruction Error
41910,Collision simulated with instruction
41911,Not valid character used in RAPID string
41912,No ongoing camera set parameter request
41913,Preceding instruction caused set
41914,Cancel set parameter for camera
41915,Load or Save module with old module
41916,String too long
41917,The number of characters does not fit in
41918,Execution Error
41919,Undefined value
41920,Not accessible path
41921,Parameter Error
41922,Value error
41923,Obsolete switch
41924,Wrong combination of optional arguments
41925,Cyclic bool setup error
41926,Not enough access rights for the operation
41927,Camera out of memory
41930,App does not exist
41931,App found but could not be launched.
41932,Invalid arguments specified
41934,Fatal UIDisplay error
50021,Joint position error
50024,Corner path failure
50025,Restart interrupted
50026,Close to singularity
50027,Joint Out of Range
50028,Jog outside working range
50031,Command not allowed
50032,Command not allowed
50033,Command not allowed
50035,Command not allowed
50036,Correct regain impossible
50037,Motors On order ignored
50042,Could not create path
50050,Position outside reach
50052,Joint speed error
50053,Too large revolution counter difference
50055,Joint load too high
50056,Joint collision
50057,Joint not synchronized
50058,Tool coordinate system error
50063,Circle uncertain
50065,Kinematics error
50066,Robot not active
50067,Unit not active
50076,Orientation not correct
50078,Too many close positions
50079,Cannot use wrist weaving
50080,Position not compatible
50082,Path calculation time exceeded
50085,Too many user frames
50086,Singularity problem
50087,Singularity problem
50088,Restart not possible
50089,Weaving changed
50091,Restart not possible
50092,Axis computer response
50094,TuneServo not possible
50096,TuneServo not allowed
50124,Zone converted to fine point
50132,Commutation failed
50133,No signals available
50134,Correction vector failed
50135,SoftAct not possible
50138,Arm check point limit
50139,Arm check point limit
50140,Payload too large
50142,Motion configuration
50143,Robot axes configuration
50144,Displacement frame uncertain
50145,Kinematic limitation
50147,Power fail restart failed
50153,Command not allowed
50156,Not an Independent Joint
50157,Correction vector X failed
50158,Sensor process missing
50159,No external process
50160,Cannot reach position
50163,Position adjustment
50164,Deactivation not possible
50167,New sync
50168,New sync on
50172,MoveJ not allowed
50174,WObj not connected
50175,Conveyor moving
50176,Conveyor not active
50177,Unable to restart
50181,Out of coupled range
50182,Jog in wrong direction
50183,Robot outside work area
50184,Correction vector Y failed
50189,Relay signal not found
50190,Permanent interpolator lock error
50192,Jogging error
50193,Joint not synchronized
50194,Internal position error
50195,Cannot move independent
50196,Calibration failed
50197,Calibration failed
50198,Calibration failed
50200,Torque error
50201,Orientation outside reach
50203,Measurement node used
50204,Motion supervision
50205,Data logger error
50208,Missing function
50209,Kinematic limitation
50210,Load identification fail
50214,Work area configuration failed
50215,Load identification fail
50218,Path not finished
50220,No input signal
50221,Object outside limit
50222,Mismatch type - MechUnit
50224,Cannot define load
50225,Synchronization failed
50226,Motor reference error
50227,Invalid log signal channel
50228,Unknown log signal number
50229,Unknown log signal unit
50230,Invalid log signal axis
50231,Log signal unit not active
50234,Overflow during logging
50235,No Motion interrupts received
50239,Emergency Stop change
50240,Emergency Stop change
50241,Missing function
50242,Unsync due to system parameters
50243,No acceleration limit
50244,Absolute Accuracy calibration failed
50245,Command not allowed
50246,Linked motor error
50247,Clear of Path failed
50248,Servo Tool error
50249,Programmed force reduced
50250,Calibration force reduced
50251,Tool opening failed
50252,Tool opening failed
50253,Cannot deactivate unit
50254,Linked motor error
50256,Sync pos outside limits
50257,Sync speed outside limits
50258,Sensor direction error
50259,Sensor max distance error
50260,Sensor Check dist error
50261,WZone outside work area
50262,WZone outside work area
50263,Duty factor is too high
50265,Thickness out of reach
50266,Close request failed
50267,Open request failed
50268,Calibration failed
50269,Tune value out of limit
50271,Poor event accuracy
50272,Motion configuration
50273,Motion configuration
50274,Motion configuration
50275,Motion configuration
50276,Motion configuration
50277,Motion configuration
50278,Motion configuration
50279,Motion configuration
50280,System configuration
50281,Process failed
50282,Record not ready
50283,Unknown record file name
50284,Cannot activate Mechanical Unit
50285,DitherAct not possible
50286,Mix of coordinated frames
50287,Unit not stopped in a controlled position
50288,Sync ID mismatch
50289,Point type mismatch at sync
50290,Service unavailable
50294,Transmission error of data
50295,Motion data missing
50296,Robot memory data difference
50297,Memory updated in robot
50298,Memory updated in controller
50299,Speed is reduced
50300,Robot memory not used
50301,All robot data missing
50302,Sensor data missing
50303,Controller data missing
50305,Old SMB board used
50306,Load identification error
50307,Extended working range
50308,In Position timeout
50309,Absolute Accuracy error
50310,Independent joint not active
50311,Cannot activate Mechanical Unit in task
50312,Mechanical Unit already active in other
50313,Independent move reset restarted
50314,Independent move outside reach
50316,Absolute accuracy not activated
50317,Disconnecting the drive module not
50318,Reconnecting the drive module not
50319,Cannot activate Mechanical Unit
50320,Drive Module has been disconnected
50321,Drive Module has been reconnected
50322,Mechanical Unit not connected to Motion
50323,Failed to read force sensor
50324,Force control calibration failed
50325,Failed to activate force control
50326,Failed to deactivate force control
50327,Failed to start references
50328,Parameter error in FCRefSprForce or
50329,Parameter error in FCRefSprForce
50330,Parameter error in FCRefSprTorque
50333,"Error FCRefLine, FCRefRot or FCRefCircle"
50335,Parameter error in FCRefSpiral
50336,Parameter error in FCGetProcessData
50337,Force sensor not setup
50338,Parameter error in FCCondAdvanced
50339,Parameter error in FCCondTime
50340,Error in force control box definition
50341,Error in force control cylinder definition
50342,Error in force control sphere definition
50343,Error in force control cone definition
50344,Joints outside limits in force control
50345,Force control supervision error
50346,Motor temperature error
50348,Log signal definition failed
50349,Same synchronization ID
50350,Software Equalizing Not Allowed
50351,Independent Move not allowed
50352,Number of move instruction mismatch
50353,Failed to read data from encoder card
50354,Ordered force reference is too large
50355,Ordered torque reference is too large
50356,Ordered MaxForce is too large
50357,Ordered MaxTorque is too large
50358,Close to singularity when in force control
50359,Path Recorder on StorePath level not
50361,Brake release error
50362,Brake release time out
50363,SyncMoveOn failed
50364,Axis in current vector mode
50366,Reference Error
50368,Too Short distance between equidistant
50369,Calibration using stored offset failed
50370,Transfer of data to robot memory failed
50371,The programmed speed is too high
50372,Contact force too high
50373,Too high Event Preset Time
50374,FC SpeedChange program stop error
50375,Dynamic load too high
50376,Geometric interpolation failed
50377,Only allowed in position control
50378,Error in FCSetMaxForceChangeTune
50379,Active mechanical units have changed
50380,Checksum error
50381,Speed too low
50382,Weave pattern error
50383,Cartesian Soft Servo configuration error
50384,Cartesian Soft Servo quaternions invalid
50385,Cartesian Soft Servo activation failed
50386,Cartesian Soft Servo offset activation
50387,Cartesian Soft Servo close to unstable
50388,Cartesian Soft Servo position supervision
50389,Cartesian Soft Servo singularity
50390,Cartesian Soft Servo speed supervision
50391,Cartesian Soft Servo movement not
50392,SafeMove communication error
50393,Force offset applied in non-soft direction
50394,The Path for the Unit is cleared
50396,Default FC force supervision error
50397,Path frame rotation speed error
50400,Motion configuration error
50401,Startup synchronization failed
50402,Correction is not ended in a finepoint
50404,Additional axis movement during Wrist
50405,Coordinated movement during Wrist
50406,Wrist Interpolation point not on circle
50407,Wrist axis locked
50408,Wrist joint limit
50409,Wrist Interpolation not possible
50410,Collinear targets in wrong order
50411,Maximum allowed programmed TCP load
50412,Error in speed change tuning instruction
50413,Bleeder resistor overload error
50414,Bleeder resistor overload
50415,Motor temperature error
50416,Motor temperature close to maximum
50417,Drive unit overload error
50418,Drive unit overload
50419,Common base_frame error
50420,IndCnv Mechanical Unit Error
50421,IndCnv Tracking Single Error
50422,IndCnv and Independent joint error
50423,IndCnv Time before indexing move too
50425,Friction FFW parameter is not On
50426,Out of interpolation objects
50427,Joint not synchronized after calibration
50429,CSS parameter damping obsolete
50430,Underrun in the axis computer
50431,Predicted Collision
50432,Identical Base Frames
50433,Position changed to inside working area
50434,Position changed to inside working area
50435,Inconsistent system parameter
50436,Robot configuration error
50437,Follower axis is connected to wrong
50438,Motor off sequence has timed out
50439,Soft servo activation failure
50440,Correction generator lost
50441,Low voltage on battery inputs
50442,Robot axis configuration error
50443,Lack of Internal Event Objects
50444,Manipulator supervision
50445,Sync on/off not allowed while External
50446,External Motion Interface ramp time
50447,Incorrect mechanical units for External
50448,Error in External Motion Interface input
50449,Mechanical unit close to joint bound
50450,External Motion Interface activation error
50451,External Motion Interface deactivation
50452,External Motion Interface cyclic error
50453,Move not allowed in External Motion
50454,External Motion Interface position
50455,External Motion Interface speed
50456,Close to singularity while External Motion
50457,External Motion Interface configuration
50458,Programmed speed too high
50459,External Motion Interface input out of
50460,External Motion Interface deactivation not
50461,Too many continuous log signals
50462,Cartesian speed too high
50463,Log server communication error
50464,A collision has occurred
50465,Tuning of robot stiffness parameters is
50466,Measurement Channel Conflict
50467,Brake Relay Conflict
50468,Cartesian speed limits changed
50469,I/O controlled axis configuration failed
50470,I/O controlled axis not ready for activation
50471,I/O controlled axis not ready
50472,Absolute accuracy data missing
50473,Ascii Log configuration failed
50474,Target in a singularity
50475,Target in a singularity
50476,AxisCal error
50477,Axis Calibration data missing
50478,Could not deactivate lead-through
50479,Cannot jog joints in independent mode
50480,I/O controlled axis RefSync failed
50481,I/O controlled axis not synchronized
50482,Search speed not reached
50483,Movement in wrong direction
50484,Stop-point too far away from circle
50486,Load supervision
50487,Motion configuration
50488,Using old target definition
50489,Trigg distance larger than movement
50490,Measurement error detected
50491,Dual-arm base frame error
50492,Error during jogging
50493,LockAxis4 not supported
50494,Revolution counters missing
50495,Axis Calibration error
50496,Conveyor Tracking position error at pick
50497,Maximum number of axes in drive module
50499,Exceeded maximum allowed path
50500,Functionality has Beta status
50501,Short movements
50502,Collision Avoidance load error
50503,Collision Avoidance inactive during
50504,Joint limit reached
50505,Spot Gun configuration warning
50506,Spot Gun missing tip error
50507,Movement detected when brakes are
50508,Conveyor board connection lost
50509,License error
50510,Lead through load mismatch
50511,Safety Controller violation prevented.
50512,Controller restarted
50513,Activation or deactivation not allowed
50514,No calibration tool found
50515,Too many attempts during calibration
50516,Speed too high during calibration
50517,Speed too low during calibration
50518,High speed detected after contact
50519,Incorrect contact force
50520,Incorrect contact force
50521,Calibration timed out
50522,Unexpected collision detected
50523,Calibration speed not reached
50530,Cannot activate Mechanical Unit
50531,SingArea\Wrist not supported
50532,Jog direction time-out
50533,Checksum error
50534,Robot memory data difference
50535,Motion data missing
50536,Transfer of data to robot memory failed
50537,All robot data missing
50538,Sensor data missing
50539,Absolute Accuracy version is not
50540,Low voltage on serial measurement board
50541,Motion configuration error
71001,Duplicate address
71003,I/O device undefined
71005,Invalid filter time
71006,Invalid filter time
71007,Logical values out of range
71008,Physical values out of range
71017,Cross connection without actor I/O signal
71019,Cross connection with undefined I/O
71020,Cross connection without resultant I/O
71021,Duplicate cross connection with same
71037,Closed chain in cross connection
71038,Cross connection max depth exceeded
71045,Invalid filter specification
71049,Analog I/O signal inverted
71050,Cross connection with non-digital actor
71052,Max number of cross connections
71054,Invalid signal type
71058,Lost communication with I/O device
71076,Communication error from rtp1
71077,Communication error from rtp1
71078,Communication error from rtp1
71080,Max number of device predefined types
71081,Max number of physical I/O signals
71082,Max number of user I/O signals exceeded
71083,Max number of symbols exceeded
71084,Max number of subscribed I/O signals
71085,Max number of I/O devices exceeded
71098,NFS server lost
71099,Trusted NFS server lost
71101,Network undefined
71114,Invalid IP address
71115,Invalid subnet mask
71116,Not allowed to deactivate I/O device
71122,Incorrect IP address
71123,No transmission protocol
71125,Mount permission denied
71126,Directory not exported
71128,Ethernet not installed
71129,Too many remote disks
71130,Too many remote servers
71131,Could not mount directory
71141,Default value for I/O signal out of range
71156,IPC queue full
71158,Address out of range
71163,I/O signal on internal I/O device
71164,Internal I/O signal in cross connection
71165,FTP server went down
71166,FTP server went down
71167,Wrong transmission protocol
71169,Ethernet not installed
71182,I/O signal undefined
71183,Cross connection with invalid operator
71185,Duplicate name
71193,Invalid physical I/O mapping
71196,Invalid encoding type
71201,Unknown network
71205,Could not mount directory
71241,Too many I/O devices on network
71261,Transport layer failure
71262,Industrial network communication failure
71263,CAN communication failure
71264,Conveyor tracking error
71273,I/O device configuration mismatch
71276,Communication established with I/O
71278,Mount permission denied
71288,Mount path is too large
71289,Memory partition is too big
71290,Could not add FTP device
71291,Invalid local path
71293,Invalid input size
71294,Invalid output size
71295,Invalid input size
71296,Invalid output size
71297,Invalid connection type
71298,Duplicated address
71299,No power on DeviceNet network
71300,DeviceNet network communication
71301,"Bus off, DeviceNet network"
71302,No DeviceNet option has been installed
71303,Invalid DeviceNet vendor id
71304,Invalid DeviceNet device type
71305,Invalid DeviceNet product code
71306,DeviceNet unknown error
71307,DeviceNet generic connection 1
71308,DeviceNet generic connection 2
71309,DeviceNet generic device identification
71310,DeviceNet I/O device connection error
71311,Unable to establish communication on
71312,DeviceNet I/O device explicit connection
71313,Device command order number not unique
71315,Max number of device commands
71317,I/O device reset
71320,Max number of I/O access levels exceeded
71321,Invalid I/O access level
71323,Invalid bit values
71324,Physical limitation values out of range
71325,Invalid network configuration
71326,Invalid device predefined type
71328,Invalid name
71329,Invalid network connection
71331,Invalid network
71332,Invalid recovery time
71333,Invalid DeviceNet baud rate
71336,Device command without path
71338,Invalid device command service identifier
71339,Device command without reference to I/O
71340,Device command with reference to
71344,Device map undefined
71346,Device map out of range
71347,Device map with overlapping segments
71348,Device map with unexpected character
71349,Invalid signal size
71350,Invalid network
71351,Invalid connection 1 type
71352,Invalid connection 2 type
71354,I/O device without reference to network
71355,Invalid Device Trust Level
71356,Bus type mismatch
71357,Duplicated I/O devices on network Local
71361,Cross connection with non-digital
71362,I/O signal mapped outside the I/O device
71363,Internal slave configuration invalid
71364,User I/O queue overload
71365,Safety I/O queue overload
71366,Cross connection I/O queue overload
71367,No communication with I/O device
71379,Unknown communication physical
71380,Communication connector driver is
71381,Communication connector is already in
71382,DeviceNet watchdog time has expired
71383,User defined I/O devices can't be
71385,Request message resource exhausted
71390,The DeviceNet network has recovered
71391,System Signal configuration
71392,Invalid output size
71393,Error when allocating generic size
71394,Invalid physical communication channel
71395,No transport protocol
71396,No transmission protocol
71397,No application protocol
71398,Communication error from bosv24
71399,Communication error from bosv24
71400,Communication error from bosv24
71401,No option exists for the
71402,Duplicate address on the
71403,The interval time is invalid
71404,Invalid input/output size
71405,Duplicate device mapping
71406,Communication established on DeviceNet
71407,Route interface not found
71408,Route port number out of range
71409,Not able to add a port to
71410,CIP route option not installed
71411,Out of route resources
71412,The DeviceNet network has regained the
71414,Concurrent changes of signal value
71428,DeviceNet I/O device configured
71443,Too many PROFINET internal devices
71446,PROFINET configuration mismatch
71449,Too many Anybus adapters configured
71450,EtherNet/IP Scanner/Adapter option not
71452,Too many EtherNet/IP networks are
71453,Wrong identity for EtherNet/IP adapter
71454,The
71455,EtherNet/IP connection type unknown
71457,The EtherNet/IP gateway address is invalid
71458,Could not change the default gateway
71459,Illegal address for EtherNet/IP
71460,Not able to connect to EtherNet/IP adapter
71461,Duplicated address on the EtherNet/IP
71462,Illegal subnet mask for EtherNet/IP
71463,Illegal address for EtherNet/IP network
71464,Could not add a new gateway for
71469,Max number of internal I/O signals
71473,DeviceNet network scan result
71476,DeviceNet firmware file not found
71477,Invalid connection size for EtherNet/IP
71478,Invalid input or output assembly for
71479,Invalid configuration assembly for
71480,Adapter occupied by another scanner
71481,PROFINET configuration file error
71482,PROFINET network configuration changed
71483,PROFINET identification request received
71485,Illegal subnet mask
71486,Illegal address for
71487,Illegal IP address for
71488,Illegal gateway address for
71489,PROFINET internal device configuration
71490,PROFINET I/O device configuration
71491,PROFINET I/O device configuration
71492,PROFINET diagnostic data reported
71493,PROFINET I/O device auto configured
71494,PROFINET option license is missing
71495,PROFINET controller option license is
71498,PROFINET network configuration changed
71499,I/O signals in cross connection has
71500,EtherNet/IP connection failure
71501,PROFINET configuration file incompatible
71502,PROFINET configuration mismatch
71503,PROFINET station name error
71504,File size exceeds max file size
71505,Device command syntax error
71506,Device command syntax error
71507,Device command syntax error
71508,Device command syntax error
71509,Device command syntax error
71510,Device command syntax error
71511,Device command syntax error
71512,Invalid service identifier in device
71513,Device command response timeout
71514,Device command connection error
71515,Device command send error
71516,An EtherNet/IP adapter does not support
71517,An attribute is changed for an EtherNet/IP
71519,Too many PROFINET Networks are
71520,Input data invalid
71521,Output data not processed
71522,Ethernet port occupied by another client
